String	Airline	Origin	Equipment	Time	Hour	D/A	Year	Region2	AlCat	Pair	GroundTime	Type
F31250	F3	Middle East	B737	10:00:00	10	A	2040	Middle East	F3	F31251	69.99999999999999	Commercial
F31252	F3	Middle East	B737	13:50:00	13	A	2040	Middle East	F3	F31249	1030	Commercial
F31256	F3	Saudi Arabia	A350	04:55:00	4	A	2040	Saudi Arabia	F3	F31257	80.00000000000003	Commercial
F31264	F3	Saudi Arabia	A350	05:15:00	5	A	2040	Saudi Arabia	F3	F31259	490	Commercial
F31258	F3	Saudi Arabia	A350	09:55:00	9	A	2040	Saudi Arabia	F3	F31253	425	Commercial
F31260	F3	Saudi Arabia	A350	16:45:00	16	A	2040	Saudi Arabia	F3	F31261	179.99999999999983	Commercial
F31254	F3	Saudi Arabia	A350	21:00:00	21	A	2040	Saudi Arabia	F3	F31255	234.99999999999977	Commercial
F31262	F3	Saudi Arabia	A350	23:35:00	23	A	2040	Saudi Arabia	F3	F31263	129.99999999999977	Commercial
F31272	F3	Middle East	B787	05:55:00	5	A	2040	Middle East	F3	F31265	104.99999999999994	Commercial
F31266	F3	Saudi Arabia	B787	11:30:00	11	A	2040	Saudi Arabia	F3	F31267	110.00000000000009	Commercial
F31268	F3	Middle East	B787	17:20:00	17	A	2040	Middle East	F3	F31269	109.99999999999993	Commercial
F31270	F3	Middle East	B787	22:30:00	22	A	2040	Middle East	F3	F31271	245	Commercial
F31280	F3	Africa	A321	02:25:00	2	A	2040	Africa	F3	F31281	49.9999999999997	Commercial
F31282	F3	Europe	A321	09:05:00	9	A	2040	Europe	F3	F31275	84.99999999999994	Commercial
F31274	F3	Middle East	A321	09:25:00	9	A	2040	Middle East	F3	F31277	349.99999999999994	Commercial
F31276	F3	Saudi Arabia	A321	13:30:00	13	A	2040	Saudi Arabia	F3	F31279	435.00000000000006	Commercial
F31278	F3	Africa	A321	19:35:00	19	A	2040	Africa	F3	F31273	670	Commercial
F31284	F3	Asia	E190	02:35:00	2	A	2040	Asia	F3	F31283	460.00000000000006	Commercial
F31286	F3	Asia	B757	02:45:00	2	A	2040	Asia	F3	F31285	179.9999999999998	Commercial
F31288	F3	North America	B757	14:05:00	14	A	2040	North America	F3	F31287	969.9999999999997	Commercial
F31328	F3	Saudi Arabia	A320	00:35:00	0	A	2045	Saudi Arabia	F3	F31321	489.99999999999994	Commercial
F31322	F3	Saudi Arabia	A320	11:05:00	11	A	2045	Saudi Arabia	F3	F31323	140.00000000000006	Commercial
F31324	F3	Middle East	A320	16:25:00	16	A	2045	Middle East	F3	F31325	90	Commercial
F31326	F3	Saudi Arabia	A320	20:35:00	20	A	2045	Saudi Arabia	F3	F31327	60.00000000000011	Commercial
F31330	F3	Saudi Arabia	B737	18:10:00	18	A	2045	Saudi Arabia	F3	F31331	139.99999999999997	Commercial
F31332	F3	Middle East	B737	23:10:00	23	A	2045	Middle East	F3	F31329	980.0000000000002	Commercial
F31340	F3	Saudi Arabia	A350	02:45:00	2	A	2045	Saudi Arabia	F3	F31333	50.0000000000001	Commercial
F31334	F3	Middle East	A350	07:15:00	7	A	2045	Middle East	F3	F31335	185.00000000000006	Commercial
F31342	F3	Middle East	A350	07:50:00	7	A	2045	Middle East	F3	F31343	200	Commercial
F31336	F3	Middle East	A350	14:00:00	14	A	2045	Middle East	F3	F31337	199.99999999999994	Commercial
F31344	F3	Middle East	A350	14:30:00	14	A	2045	Middle East	F3	F31339	514.9999999999999	Commercial
F31338	F3	Middle East	A350	20:50:00	20	A	2045	Middle East	F3	F31341	450	Commercial
F31348	F3	Saudi Arabia	B787	03:20:00	3	A	2045	Saudi Arabia	F3	F31349	275	Commercial
F31350	F3	Middle East	B787	11:45:00	11	A	2045	Middle East	F3	F31351	100.00000000000004	Commercial
F31352	F3	Middle East	B787	16:55:00	16	A	2045	Middle East	F3	F31345	9.999999999999964	Commercial
F31346	F3	Saudi Arabia	B787	20:25:00	20	A	2045	Saudi Arabia	F3	F31347	214.99999999999977	Commercial
F31356	F3	Middle East	A321	02:00:00	2	A	2045	Middle East	F3	F31357	119.99999999999977	Commercial
F31362	F3	Africa	A321	02:55:00	2	A	2045	Africa	F3	F31359	419.9999999999998	Commercial
F31358	F3	Saudi Arabia	A321	07:10:00	7	A	2045	Saudi Arabia	F3	F31361	645	Commercial
F31360	F3	Middle East	A321	16:25:00	16	A	2045	Middle East	F3	F31353	135.00000000000017	Commercial
F31354	F3	Saudi Arabia	A321	21:30:00	21	A	2045	Saudi Arabia	F3	F31355	99.99999999999997	Commercial
F31364	F3	Europe	E190	18:20:00	18	A	2045	Europe	F3	F31363	570	Commercial
F31368	F3	Australasia	B757	02:05:00	2	A	2045	Australasia	F3	F31365	1200	Commercial
F31366	F3	Europe	B757	22:45:00	22	A	2045	Europe	F3	F31367	120	Commercial
F31402	F3	Middle East	A320	15:55:00	15	A	2050	Middle East	F3	F31403	115.00000000000007	Commercial
F31404	F3	Middle East	A320	20:50:00	20	A	2050	Middle East	F3	F31405	29.999999999999893	Commercial
F31406	F3	Middle East	A320	1900-01-01 00:00:00	0	A	2050	Middle East	F3	F31401	815.0000000000001	Commercial
F31408	F3	Middle East	B737	12:40:00	12	A	2050	Middle East	F3	F31409	69.99999999999991	Commercial
F31410	F3	Middle East	B737	16:30:00	16	A	2050	Middle East	F3	F31407	1030.0000000000002	Commercial
F31420	F3	Middle East	A350	00:50:00	0	A	2050	Middle East	F3	F31413	125.00000000000017	Commercial
F31414	F3	Middle East	A350	06:15:00	6	A	2050	Middle East	F3	F31415	105.00000000000003	Commercial
F31416	F3	Middle East	A350	11:40:00	11	A	2050	Middle East	F3	F31421	119.99999999999997	Commercial
F31422	F3	Middle East	A350	17:20:00	17	A	2050	Middle East	F3	F31411	99.99999999999997	Commercial
F31418	F3	Saudi Arabia	A350	17:20:00	17	A	2050	Saudi Arabia	F3	F31419	219.99999999999986	Commercial
F31412	F3	Middle East	A350	22:50:00	22	A	2050	Middle East	F3	F31417	910	Commercial
F31424	F3	Middle East	B787	00:55:00	0	A	2050	Middle East	F3	F31425	435.00000000000006	Commercial
F31426	F3	Saudi Arabia	B787	11:50:00	11	A	2050	Saudi Arabia	F3	F31427	100.00000000000004	Commercial
F31428	F3	Saudi Arabia	B787	17:00:00	17	A	2050	Saudi Arabia	F3	F31429	175.00000000000003	Commercial
F31430	F3	Saudi Arabia	B787	23:55:00	23	A	2050	Saudi Arabia	F3	F31423	1279.9999999999998	Commercial
F31440	F3	Middle East	A321	00:05:00	0	A	2050	Middle East	F3	F31431	54.99999999999986	Commercial
F31432	F3	Saudi Arabia	A321	03:50:00	3	A	2050	Saudi Arabia	F3	F31433	45	Commercial
F31434	F3	Saudi Arabia	A321	07:05:00	7	A	2050	Saudi Arabia	F3	F31435	139.99999999999997	Commercial
F31436	F3	Middle East	A321	11:45:00	11	A	2050	Middle East	F3	F31437	24.999999999999993	Commercial
F31438	F3	Middle East	A321	16:30:00	16	A	2050	Middle East	F3	F31439	105.00000000000011	Commercial
F31442	F3	Europe	E190	09:20:00	9	A	2050	Europe	F3	F31441	609.9999999999998	Commercial
F31444	F3	Asia	B757	09:00:00	9	A	2050	Asia	F3	F31445	154.9999999999997	Commercial
F31446	F3	North America	B757	18:55:00	18	A	2050	North America	F3	F31443	1025	Commercial
XY1006	XY	Africa	B737	00:40:00	0	A	2025	Africa	XY	XY1001	519.9999999999999	Commercial
XY1002	XY	Middle East	B737	13:40:00	13	A	2025	Middle East	XY	XY1003	75.00000000000006	Commercial
XY1084	XY	Africa	B737	04:15:00	4	A	2030	Africa	XY	XY1085	95.0000000000001	Commercial
XY1086	XY	Africa	B737	09:30:00	9	A	2030	Africa	XY	XY1081	505.00000000000006	Commercial
XY1166	XY	Middle East	B737	02:25:00	2	A	2035	Middle East	XY	XY1161	654.9999999999998	Commercial
XY1162	XY	Saudi Arabia	B737	16:40:00	16	A	2035	Saudi Arabia	XY	XY1163	30.000000000000053	Commercial
XY1242	XY	Middle East	B737	13:15:00	13	A	2040	Middle East	XY	XY1243	154.99999999999994	Commercial
XY1244	XY	GCC	B737	20:00:00	20	A	2040	GCC	XY	XY1241	755.0000000000001	Commercial
XY1324	XY	Saudi Arabia	B737	04:45:00	4	A	2045	Saudi Arabia	XY	XY1321	915.0000000000001	Commercial
XY1322	XY	Middle East	B737	23:30:00	23	A	2045	Middle East	XY	XY1323	105	Commercial
XY1402	XY	Saudi Arabia	B737	14:45:00	14	A	2050	Saudi Arabia	XY	XY1401	1220	Commercial
SW1008	SW	Middle East	B737	05:40:00	5	A	2025	Middle East	SW	SW1001	90	Commercial
SW1002	SW	Africa	B737	11:00:00	11	A	2025	Africa	SW	SW1007	880.0000000000001	Commercial
SW1082	SW	Africa	B737	12:20:00	12	A	2030	Africa	SW	SW1083	75.00000000000006	Commercial
SW1084	SW	Africa	B737	18:35:00	18	A	2030	Africa	SW	SW1081	795.0000000000001	Commercial
SW1164	SW	Africa	B737	03:25:00	3	A	2035	Africa	SW	SW1165	64.99999999999993	Commercial
SW1166	SW	Africa	B737	09:00:00	9	A	2035	Africa	SW	SW1161	430	Commercial
SW1242	SW	Middle East	B737	17:55:00	17	A	2040	Middle East	SW	SW1243	45.000000000000156	Commercial
SW1244	SW	Middle East	B737	21:50:00	21	A	2040	Middle East	SW	SW1241	915	Commercial
SW1322	SW	Africa	B737	12:15:00	12	A	2045	Africa	SW	SW1323	49.999999999999986	Commercial
SW1324	SW	Africa	B737	16:55:00	16	A	2045	Africa	SW	SW1321	870.0000000000001	Commercial
SW1402	SW	Africa	B737	21:25:00	21	A	2050	Africa	SW	SW1401	1200	Commercial
5W1006	5W	Middle East	B737	00:35:00	0	A	2025	Middle East	5W	5W1001	419.99999999999994	Commercial
5W1002	5W	GCC	B737	11:05:00	11	A	2025	GCC	5W	5W1003	119.99999999999989	Commercial
5W1082	5W	Africa	B737	12:05:00	12	A	2030	Africa	5W	5W1083	75.00000000000006	Commercial
5W1084	5W	Africa	B737	16:40:00	16	A	2030	Africa	5W	5W1081	955	Commercial
5W1164	5W	Africa	B737	04:40:00	4	A	2035	Africa	5W	5W1165	35.000000000000036	Commercial
5W1166	5W	Saudi Arabia	B737	09:25:00	9	A	2035	Saudi Arabia	5W	5W1161	515	Commercial
5W1244	5W	Africa	B737	02:55:00	2	A	2040	Africa	5W	5W1241	874.9999999999998	Commercial
5W1242	5W	Saudi Arabia	B737	21:50:00	21	A	2040	Saudi Arabia	5W	5W1243	54.999999999999964	Commercial
5W1324	5W	GCC	B737	03:55:00	3	A	2045	GCC	5W	5W1321	930	Commercial
5W1322	5W	Saudi Arabia	B737	23:25:00	23	A	2045	Saudi Arabia	5W	5W1323	50	Commercial
5W1402	5W	Africa	B737	12:25:00	12	A	2050	Africa	5W	5W1401	1240	Commercial
3L1004	3L	Africa	B737	03:30:00	3	A	2025	Africa	3L	3L1005	79.9999999999998	Commercial
3L1006	3L	Africa	B737	09:00:00	9	A	2025	Africa	3L	3L1007	59.99999999999994	Commercial
3L1086	3L	Africa	B737	01:30:00	1	A	2030	Africa	3L	3L1081	475	Commercial
3L1082	3L	Saudi Arabia	B737	13:55:00	13	A	2030	Saudi Arabia	3L	3L1083	85.00000000000001	Commercial
3L1166	3L	Saudi Arabia	B737	02:45:00	2	A	2035	Saudi Arabia	3L	3L1161	394.9999999999998	Commercial
3L1162	3L	Saudi Arabia	B737	13:20:00	13	A	2035	Saudi Arabia	3L	3L1163	120.00000000000006	Commercial
3L1244	3L	Africa	B737	05:35:00	5	A	2040	Africa	3L	3L1241	839.9999999999999	Commercial
3L1242	3L	Africa	B737	23:55:00	23	A	2040	Africa	3L	3L1243	70	Commercial
3L1322	3L	Saudi Arabia	B737	18:10:00	18	A	2045	Saudi Arabia	3L	3L1323	90.00000000000016	Commercial
3L1324	3L	GCC	B737	23:30:00	23	A	2045	GCC	3L	3L1321	860	Commercial
3L1402	3L	Middle East	B737	18:35:00	18	A	2050	Middle East	3L	3L1401	1200	Commercial
OTH1008	OTH	Africa	B737	02:25:00	2	A	2025	Africa	OTH	OTH1001	325.00000000000006	Commercial
OTH1002	OTH	Africa	B737	12:30:00	12	A	2025	Africa	OTH	OTH1003	54.999999999999964	Commercial
OTH1082	OTH	Africa	B737	10:40:00	10	A	2030	Africa	OTH	OTH1083	19.99999999999993	Commercial
OTH1084	OTH	Africa	B737	15:00:00	15	A	2030	Africa	OTH	OTH1081	970.0000000000002	Commercial
OTH1164	OTH	Saudi Arabia	B737	02:15:00	2	A	2035	Saudi Arabia	OTH	OTH1165	110.00000000000001	Commercial
OTH1166	OTH	Africa	B737	08:35:00	8	A	2035	Africa	OTH	OTH1161	570	Commercial
OTH1242	OTH	Saudi Arabia	B737	00:05:00	0	A	2040	Saudi Arabia	OTH	OTH1243	949.9999999999998	Commercial
OTH1244	OTH	Africa	B737	19:25:00	19	A	2040	Africa	OTH	OTH1241	1.5987211554602254e-13	Commercial
OTH1322	OTH	Africa	B737	13:20:00	13	A	2045	Africa	OTH	OTH1323	50.00000000000014	Commercial
OTH1324	OTH	Africa	B737	18:00:00	18	A	2045	Africa	OTH	OTH1321	880	Commercial
OTH1402	OTH	Africa	B737	23:05:00	23	A	2050	Africa	OTH	OTH1401	1220.0000000000002	Commercial
F31009	F3	Saudi Arabia	A320	05:15:00	5	D	2025	Saudi Arabia	F3	F31008	0	Commercial
F31001	F3	Middle East	A320	11:00:00	11	D	2025	Middle East	F3	F31010	0	Commercial
F31003	F3	Middle East	A320	15:50:00	15	D	2025	Middle East	F3	F31002	0	Commercial
F31005	F3	Middle East	A320	19:50:00	19	D	2025	Middle East	F3	F31004	0	Commercial
F31007	F3	Middle East	A320	00:45:00	0	D	2025	Middle East	F3	F31006	0	Commercial
F31013	F3	Saudi Arabia	B737	11:55:00	11	D	2025	Saudi Arabia	F3	F31012	0	Commercial
F31011	F3	Middle East	B737	08:15:00	8	D	2025	Middle East	F3	F31014	0	Commercial
F31027	F3	Saudi Arabia	A350	05:15:00	5	D	2025	Saudi Arabia	F3	F31018	0	Commercial
F31019	F3	Middle East	A350	06:05:00	6	D	2025	Middle East	F3	F31026	0	Commercial
F31021	F3	Saudi Arabia	A350	11:10:00	11	D	2025	Saudi Arabia	F3	F31028	0	Commercial
F31029	F3	Middle East	A350	12:45:00	12	D	2025	Middle East	F3	F31020	0	Commercial
F31023	F3	Saudi Arabia	A350	17:50:00	17	D	2025	Saudi Arabia	F3	F31022	0	Commercial
F31015	F3	Saudi Arabia	A350	18:05:00	18	D	2025	Saudi Arabia	F3	F31030	0	Commercial
F31025	F3	Saudi Arabia	A350	23:40:00	23	D	2025	Saudi Arabia	F3	F31024	0	Commercial
F31017	F3	Saudi Arabia	A350	23:45:00	23	D	2025	Saudi Arabia	F3	F31016	0	Commercial
F31031	F3	Saudi Arabia	A350	18:35:00	18	D	2025	Saudi Arabia	F3	F31032	0	Commercial
F31035	F3	Saudi Arabia	B787	09:05:00	9	D	2025	Saudi Arabia	F3	F31040	0	Commercial
F31037	F3	Saudi Arabia	B787	15:35:00	15	D	2025	Saudi Arabia	F3	F31034	0	Commercial
F31039	F3	Africa	B787	23:50:00	23	D	2025	Africa	F3	F31036	0	Commercial
F31033	F3	Middle East	B787	02:30:00	2	D	2025	Middle East	F3	F31038	0	Commercial
F31041	F3	Saudi Arabia	A321	05:50:00	5	D	2025	Saudi Arabia	F3	F31048	0	Commercial
F31043	F3	Africa	A321	11:25:00	11	D	2025	Africa	F3	F31046	0	Commercial
F31047	F3	Europe	A321	12:40:00	12	D	2025	Europe	F3	F31042	0	Commercial
F31045	F3	Europe	A321	19:55:00	19	D	2025	Europe	F3	F31044	0	Commercial
F31049	F3	Europe	A321	07:35:00	7	D	2025	Europe	F3	F31050	0	Commercial
F31051	F3	North America	E190	22:35:00	22	D	2025	North America	F3	F31052	0	Commercial
F31053	F3	Asia	B757	00:00:00	0	D	2025	Asia	F3	F31056	0	Commercial
F31055	F3	North America	B757	02:05:00	2	D	2025	North America	F3	F31054	0	Commercial
F31087	F3	Saudi Arabia	A320	03:15:00	3	D	2030	Saudi Arabia	F3	F31086	0	Commercial
F31089	F3	Saudi Arabia	A320	07:45:00	7	D	2030	Saudi Arabia	F3	F31088	0	Commercial
F31091	F3	Middle East	A320	11:00:00	11	D	2030	Middle East	F3	F31090	0	Commercial
F31081	F3	Saudi Arabia	A320	13:50:00	13	D	2030	Saudi Arabia	F3	F31092	0	Commercial
F31083	F3	Middle East	A320	17:25:00	17	D	2030	Middle East	F3	F31082	0	Commercial
F31085	F3	Saudi Arabia	A320	22:25:00	22	D	2030	Saudi Arabia	F3	F31084	0	Commercial
F31095	F3	Middle East	B737	18:55:00	18	D	2030	Middle East	F3	F31094	0	Commercial
F31093	F3	Saudi Arabia	B737	14:40:00	14	D	2030	Saudi Arabia	F3	F31096	0	Commercial
F31105	F3	Saudi Arabia	A350	03:30:00	3	D	2030	Saudi Arabia	F3	F31104	0	Commercial
F31099	F3	Middle East	A350	08:05:00	8	D	2030	Middle East	F3	F31112	0	Commercial
F31107	F3	Middle East	A350	09:15:00	9	D	2030	Middle East	F3	F31098	0	Commercial
F31101	F3	Saudi Arabia	A350	14:55:00	14	D	2030	Saudi Arabia	F3	F31106	0	Commercial
F31109	F3	Saudi Arabia	A350	15:00:00	15	D	2030	Saudi Arabia	F3	F31100	0	Commercial
F31103	F3	Saudi Arabia	A350	22:00:00	22	D	2030	Saudi Arabia	F3	F31108	0	Commercial
F31111	F3	Middle East	A350	22:35:00	22	D	2030	Middle East	F3	F31102	0	Commercial
F31097	F3	Middle East	A350	01:20:00	1	D	2030	Middle East	F3	F31110	0	Commercial
F31115	F3	Middle East	B787	12:50:00	12	D	2030	Middle East	F3	F31120	0	Commercial
F31117	F3	Africa	B787	18:35:00	18	D	2030	Africa	F3	F31114	0	Commercial
F31119	F3	Africa	B787	02:50:00	2	D	2030	Africa	F3	F31116	0	Commercial
F31113	F3	Middle East	B787	06:15:00	6	D	2030	Middle East	F3	F31118	0	Commercial
F31129	F3	Asia	A321	03:10:00	3	D	2030	Asia	F3	F31128	0	Commercial
F31125	F3	Indian Sub Continent	A321	04:15:00	4	D	2030	Indian Sub Continent	F3	F31124	0	Commercial
F31121	F3	Middle East	A321	10:25:00	10	D	2030	Middle East	F3	F31126	0	Commercial
