Airline	FlightNumber	Origin	Op. days	Equipment	Service type	Seats	Departure time	Hub time	Arrival time	Seats	Service type	Equipment	Op. days	Arrival	FlightNumber	Airline
								16:30:00	17:50:00	298	J	333	2 4 6	JED	1651	SV
XY	85	RUH	1234567	32N	J	170	14:50:00	16:30:00								
F3	19	RUH	1234567	320	J	186	15:20:00	17:00:00								
F3	431	DMM	1234567	320	J	186	14:55:00	17:05:00								
								17:10:00	19:10:00	170	J	32N	4	DMM	738	XY
								17:15:00	18:50:00	170	J	32N	1234567	RUH	86	XY
F3	341	JED	1234567	320	J	186	16:05:00	17:25:00								
SV	1675	RUH	12 4  7	330	J	330	15:55:00	17:40:00								
								17:40:00	19:20:00	186	J	320	1234567	RUH	20	F3
								17:40:00	19:45:00	186	J	320	1234567	DMM	432	F3
FZ	813	DXB	1234567	7M8	J	174	16:05:00	17:55:00								
								18:05:00	19:20:00	186	J	320	1234567	JED	342	F3
F3	21	RUH	1234567	320	J	186	16:40:00	18:20:00								
								18:35:00	20:20:00	330	J	330	12 4  7	RUH	1676	SV
								18:55:00	22:40:00	174	J	7M8	1234567	DXB	814	FZ
								19:05:00	20:45:00	186	J	320	1234567	RUH	22	F3
SV	1650	JED	3456	320	J	144	17:50:00	19:10:00								
								19:50:00	21:10:00	144	J	320	3456	JED	1653	SV
F3	23	RUH	1234567	320	J	186	18:15:00	20:00:00								
SV	1677	RUH	1234567	320	J	144	18:20:00	20:05:00								
XY	91	RUH	1234567	32N	J	170	18:30:00	20:10:00								
								20:40:00	22:20:00	186	J	320	1234567	RUH	24	F3
								20:55:00	22:30:00	170	J	32N	1234567	RUH	92	XY
								21:00:00	22:45:00	144	J	320	1234567	RUH	1678	SV
SV	1652	JED	4  7	333	J	288	20:05:00	21:25:00								
SV	1673	RUH	1234567	320	J	144	20:05:00	21:50:00								
E5	511	CAI	2 4	320	J	170	19:05:00	21:50:00								
								22:15:00	23:35:00	288	J	333	4  7	JED	1655	SV
								22:30:00	00:15:00	144	J	320	1234567	RUH	1674	SV
F3	435	DMM	1234567	320	J	186	20:25:00	22:35:00								
F3	345	JED	1234567	320	J	186	21:25:00	22:45:00								
								22:50:00	01:45:00	170	J	320	2 4	CAI	512	E5
								23:15:00	01:20:00	186	J	320	1234567	DMM	436	F3
								23:25:00	00:35:00	186	J	320	1234567	JED	346	F3
SV	1679	RUH	2 4 67	330	J	330	21:55:00	23:40:00								
																
Data copyright 2025. OAG Aviation Worldwide Ltd. All right reserved.																
USAGE: 92 RECORDS.																
