String	Airline	Airline name	Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Airline category	Pair	Ground time	Pair class
SV1646_SP	SV		JED	1234567	320	J	144	13:35:00		13	A	2025	SV	SV1649_SP	40	standard_turn
G9195_SP	G9		SHJ	1234567	320	J	174	14:30:00		14	A	2025	G9	G9196_SP	50	standard_turn
XY89_SP	XY		RUH	1234567	32N	J	170	14:35:00		14	A	2025	XY	XY90_SP	45	standard_turn
SV1671_SP	SV		RUH	4	333	J	298	15:20:00		15	A	2025	SV	SV1672_SP	45	standard_turn
SV1648_SP	SV		JED	2 4 6	333	J	298	15:40:00		15	A	2025	SV	SV1651_SP	50	standard_turn
XY737_SP	XY		DMM	4	32N	J	170	16:25:00		16	A	2025	XY	XY738_SP	45	standard_turn
XY85_SP	XY		RUH	1234567	32N	J	170	16:30:00		16	A	2025	XY	XY86_SP	45	standard_turn
F319_SP	F3		RUH	1234567	320	J	186	17:00:00		17	A	2025	F3	F320_SP	40	standard_turn
F3431_SP	F3		DMM	1234567	320	J	186	17:05:00		17	A	2025	F3	F3432_SP	35	standard_turn
F3341_SP	F3		JED	1234567	320	J	186	17:25:00		17	A	2025	F3	F3342_SP	40	standard_turn
SV1675_SP	SV		RUH	12 4  7	330	J	330	17:40:00		17	A	2025	SV	SV1676_SP	55	standard_turn
FZ813_SP	FZ		DXB	1234567	7M8	J	174	17:55:00		17	A	2025	FZ	FZ814_SP	60	standard_turn
F321_SP	F3		RUH	1234567	320	J	186	18:20:00		18	A	2025	F3	F322_SP	45	standard_turn
SV1650_SP	SV		JED	3456	320	J	144	19:10:00		19	A	2025	SV	SV1653_SP	40	standard_turn
F323_SP	F3		RUH	1234567	320	J	186	20:00:00		20	A	2025	F3	F324_SP	40	standard_turn
SV1677_SP	SV		RUH	1234567	320	J	144	20:05:00		20	A	2025	SV	SV1678_SP	55	standard_turn
XY91_SP	XY		RUH	1234567	32N	J	170	20:10:00		20	A	2025	XY	XY92_SP	45	standard_turn
SV1652_SP	SV		JED	4  7	333	J	288	21:25:00		21	A	2025	SV	SV1655_SP	50	standard_turn
SV1673_SP	SV		RUH	1234567	320	J	144	21:50:00		21	A	2025	SV	SV1674_SP	40	standard_turn
E5511_SP	E5		CAI	2 4	320	J	170	21:50:00		21	A	2025	E5	E5512_SP	60	standard_turn
F3435_SP	F3		DMM	1234567	320	J	186	22:35:00		22	A	2025	F3	F3436_SP	40	standard_turn
F3345_SP	F3		JED	1234567	320	J	186	22:45:00		22	A	2025	F3	F3346_SP	40	standard_turn
SV1679_SP	SV		RUH	2 4 67	330	J	330	23:40:00		23	A	2025	SV	SV1680_SP	50	standard_turn
SV1680_SP	SV		RUH	2 4 6	333	J	288	00:30:00		0	D	2025	SV	SV1679_SP	0	standard_turn
XY436_SP	XY		JED	1234567	32N	J	170	01:05:00		1	D	2025	XY	XY435_SP	0	standard_turn
F3438_SP	F3		DMM	1234567	320	J	186	01:30:00		1	D	2025	F3	F3437_SP	0	standard_turn
SV1643_SP	SV		JED	1234567	320	J	144	01:45:00		1	D	2025	SV	SV1640_SP	0	standard_turn
F328_SP	F3		RUH	1234567	320	J	186	02:20:00		2	D	2025	F3	F327_SP	0	standard_turn
SV1645_SP	SV		JED	1234567	320	J	144	04:45:00		4	D	2025	SV	SV1642_SP	0	standard_turn
XY782_SP	XY		TUU	12 4 6	32N	J	170	05:40:00		5	D	2025	XY	XY781_SP	0	standard_turn
F3336_SP	F3		JED	1234567	320	J	186	05:50:00		5	D	2025	F3	F3335_SP	0	standard_turn
F314_SP	F3		RUH	1234567	320	J	186	06:20:00		6	D	2025	F3	F313_SP	0	standard_turn
SV1662_SP	SV		RUH	1234567	330	J	330	06:50:00		6	D	2025	SV	SV1661_SP	0	standard_turn
SM444_SP	SM		CAI	1 34	320	J	180	06:50:00		6	D	2025	SM	SM443_SP	0	standard_turn
XY84_SP	XY		RUH	1234567	32N	J	170	07:45:00		7	D	2025	XY	XY83_SP	0	standard_turn
F3334_SP	F3		JED	1234567	320	J	186	08:15:00		8	D	2025	F3	F3333_SP	0	standard_turn
SV1647_SP	SV		JED	1234567	320	J	144	08:40:00		8	D	2025	SV	SV1644_SP	0	standard_turn
SV1664_SP	SV		RUH	1234567	320	J	144	08:50:00		8	D	2025	SV	SV1663_SP	0	standard_turn
XY426_SP	XY		JED	1234567	32N	J	170	08:50:00		8	D	2025	XY	XY425_SP	0	standard_turn
XY82_SP	XY		RUH	1234567	32N	J	170	08:55:00		8	D	2025	XY	XY81_SP	0	standard_turn
F316_SP	F3		RUH	1234567	320	J	186	11:40:00		11	D	2025	F3	F315_SP	0	standard_turn
XY710_SP	XY		DMM	1234567	32N	J	170	11:50:00		11	D	2025	XY	XY709_SP	0	standard_turn
SV1670_SP	SV		RUH	345	320	J	144	12:35:00		12	D	2025	SV	SV1669_SP	0	standard_turn
QR1213_SP	QR		DOH	4 6	320	J	144	12:40:00		12	D	2025	QR	QR1212_SP	0	standard_turn
FZ816_SP	FZ		DXB	1234567	7M8	J	174	13:15:00		13	D	2025	FZ	FZ815_SP	0	standard_turn
F3338_SP	F3		JED	1234567	320	J	186	13:45:00		13	D	2025	F3	F3337_SP	0	standard_turn
F318_SP	F3		RUH	1234567	320	J	186	14:00:00		14	D	2025	F3	F317_SP	0	standard_turn
SV1649_SP	SV		JED	1234567	320	J	144	14:15:00		14	D	2025	SV	SV1646_SP	0	standard_turn
G9196_SP	G9		SHJ	1234567	320	J	174	15:20:00		15	D	2025	G9	G9195_SP	0	standard_turn
XY90_SP	XY		RUH	1234567	32N	J	170	15:20:00		15	D	2025	XY	XY89_SP	0	standard_turn
SV1672_SP	SV		RUH	4	333	J	298	16:05:00		16	D	2025	SV	SV1671_SP	0	standard_turn
SV1651_SP	SV		JED	2 4 6	333	J	298	16:30:00		16	D	2025	SV	SV1648_SP	0	standard_turn
XY738_SP	XY		DMM	4	32N	J	170	17:10:00		17	D	2025	XY	XY737_SP	0	standard_turn
XY86_SP	XY		RUH	1234567	32N	J	170	17:15:00		17	D	2025	XY	XY85_SP	0	standard_turn
F320_SP	F3		RUH	1234567	320	J	186	17:40:00		17	D	2025	F3	F319_SP	0	standard_turn
F3432_SP	F3		DMM	1234567	320	J	186	17:40:00		17	D	2025	F3	F3431_SP	0	standard_turn
F3342_SP	F3		JED	1234567	320	J	186	18:05:00		18	D	2025	F3	F3341_SP	0	standard_turn
SV1676_SP	SV		RUH	12 4  7	330	J	330	18:35:00		18	D	2025	SV	SV1675_SP	0	standard_turn
FZ814_SP	FZ		DXB	1234567	7M8	J	174	18:55:00		18	D	2025	FZ	FZ813_SP	0	standard_turn
F322_SP	F3		RUH	1234567	320	J	186	19:05:00		19	D	2025	F3	F321_SP	0	standard_turn
SV1653_SP	SV		JED	3456	320	J	144	19:50:00		19	D	2025	SV	SV1650_SP	0	standard_turn
F324_SP	F3		RUH	1234567	320	J	186	20:40:00		20	D	2025	F3	F323_SP	0	standard_turn
XY92_SP	XY		RUH	1234567	32N	J	170	20:55:00		20	D	2025	XY	XY91_SP	0	standard_turn
SV1678_SP	SV		RUH	1234567	320	J	144	21:00:00		21	D	2025	SV	SV1677_SP	0	standard_turn
SV1655_SP	SV		JED	4  7	333	J	288	22:15:00		22	D	2025	SV	SV1652_SP	0	standard_turn
SV1674_SP	SV		RUH	1234567	320	J	144	22:30:00		22	D	2025	SV	SV1673_SP	0	standard_turn
E5512_SP	E5		CAI	2 4	320	J	170	22:50:00		22	D	2025	E5	E5511_SP	0	standard_turn
F3436_SP	F3		DMM	1234567	320	J	186	23:15:00		23	D	2025	F3	F3435_SP	0	standard_turn
F3346_SP	F3		JED	1234567	320	J	186	23:25:00		23	D	2025	F3	F3345_SP	0	standard_turn
